,Apartment,Rent,Address,URL,Rooms,Area(m²)
96,6 rm. · Apartment · 182 m²,28.800,"København, Gammel Kongevej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/182m2-6-room-id-5246766,6,182
97,4 rm. · Apartment · 114 m²,15.095,"København, Oldenborggade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/114m2-4-room-id-5246751,4,114
98,1 rm. · Room · 12 m²,4.200,"København, Ove Rodes Plads",https://www.boligportal.dk/en/rental-rooms/k%C3%B8benhavn/12m2-1-room-id-5246672,1,12
99,1 rm. · Room · 10 m²,8.000,"København, Havneholmen",https://www.boligportal.dk/en/rental-rooms/k%C3%B8benhavn/10m2-1-room-id-5246667,1,10
100,4 rm. · Apartment · 135 m²,16.900,"København, Dieselvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/135m2-4-room-id-4551470,4,135
101,1 rm. · Room · 14 m²,4.400,"København, Marskensgade",https://www.boligportal.dk/en/rental-rooms/k%C3%B8benhavn/14m2-1-room-id-5246646,1,14
102,6 rm. · Apartment · 198 m²,30.000,"København, Sortedam Dossering",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/198m2-6-room-id-5239411,6,198
103,4 rm. · Apartment · 94 m²,15.250,"København, Dieselvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-4-room-id-3742377,4,94
104,3 rm. · Apartment · 103 m²,14.400,"København, Dieselvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/103m2-3-room-id-3516218,3,103
105,3 rm. · Apartment · 80 m²,12.995,"København, Nordre Teglkaj",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/80m2-3-room-id-5099732,3,80
106,4 rm. · Apartment · 128 m²,20.300,"København, Marmorvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/128m2-4-room-id-4926842,4,128
107,4 rm. · Apartment · 138 m²,24.250,"København, Amaliegade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/138m2-4-room-id-5246714,4,138
108,1 rm. · Apartment · 23 m²,7.450,"København, Refshalevej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/23m2-1-room-id-4595898,1,23
109,4 rm. · Apartment · 160 m²,22.000,"København, Løngangstræde",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/160m2-4-room-id-4624983,4,160
110,3 rm. · Apartment · 96 m²,16.000,"København, Axel Heides Gade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/96m2-3-room-id-5246657,3,96
111,4 rm. · Apartment · 120 m²,16.000,"København, Gammel Køge Landevej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/120m2-4-room-id-5246642,4,120
112,1 rm. · Apartment · 44 m²,8.600,"København, Søndre Fasanvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/44m2-1-room-id-5246640,1,44
113,3 rm. · Apartment · 127 m²,16.500,"København, Nørre Voldgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/127m2-3-room-id-5246531,3,127
114,3 rm. · Apartment · 85 m²,12.311,"København, Jernæblevej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/85m2-3-room-id-5246637,3,85
115,2 rm. · Apartment · 40 m²,8.000,"København, Larsbjørnsstræde",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/40m2-2-room-id-5246527,2,40
116,2 rm. · Apartment · 43 m²,10.500,"København, Tagensvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/43m2-2-room-id-5221723,2,43
117,3 rm. · Apartment · 112 m²,21.900,"København, Viktoriagade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/112m2-3-room-id-3090222,3,112
118,6 rm. · House · 167 m²,24.000,"København, Nakskovvej",https://www.boligportal.dk/en/rental-houses/k%C3%B8benhavn/167m2-6-room-id-5246427,6,167
119,3 rm. · Apartment · 87 m²,12.900,"København, Richard Mortensens Vej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/87m2-3-room-id-4549981,3,87
120,4 rm. · Apartment · 83 m²,15.500,"København, Hostrupsvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/83m2-4-room-id-5077181,4,83
121,2 rm. · Apartment · 35 m²,9.500,"København, Ahlefeldtsgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/35m2-2-room-id-5246413,2,35
122,2 rm. · Apartment · 78 m²,12.900,"København, Monica Zetterlunds V",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-2-room-id-5177883,2,78
123,4 rm. · Apartment · 129 m²,20.500,"København, Farumgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/129m2-4-room-id-3911433,4,129
124,1 rm. · Room · 12 m²,4.900,"København, Ålandsgade",https://www.boligportal.dk/en/rental-rooms/k%C3%B8benhavn/12m2-1-room-id-5215557,1,12
125,3 rm. · Apartment · 81 m²,15.000,"København, Ahlefeldtsgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/81m2-3-room-id-5246550,3,81
126,3 rm. · Apartment · 92 m²,12.880,"København, Ørnevej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/92m2-3-room-id-5246545,3,92
127,4 rm. · Apartment · 125 m²,16.500,"København, Rantzausgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/125m2-4-room-id-5246519,4,125
128,3 rm. · Apartment · 120 m²,18.000,"København, Wildersgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/120m2-3-room-id-5246518,3,120
129,4 rm. · Apartment · 104 m²,13.850,"København, Else Alfelts Vej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/104m2-4-room-id-5246510,4,104
130,1 rm. · Apartment · 31 m²,8.500,"København, Hermodsgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/31m2-1-room-id-5246492,1,31
131,4 rm. · Apartment · 99 m²,15.900,"København, Teglholmsgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/99m2-4-room-id-5246489,4,99
132,1 rm. · Apartment · 35 m²,7.700,"København, Hermodsgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/35m2-1-room-id-5246483,1,35
133,7 rm. · Apartment · 286 m²,39.000,"København, ST. Kongensgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/286m2-7-room-id-5246470,7,286
134,2 rm. · Apartment · 51 m²,9.500,"København, Maribovej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/51m2-2-room-id-5137577,2,51
135,1 rm. · Room · 15 m²,5.500,"København, C.F. Richs Vej",https://www.boligportal.dk/en/rental-rooms/k%C3%B8benhavn/15m2-1-room-id-5209574,1,15
136,2 rm. · Apartment · 53 m²,11.100,"København, Ørestads Boulevard",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/53m2-2-room-id-5151558,2,53
137,4 rm. · Apartment · 103 m²,14.050,"København, Ørestads Boulevard",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/103m2-4-room-id-5151468,4,103
138,2 rm. · Apartment · 50 m²,11.400,"København, Ragnagade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/50m2-2-room-id-5237546,2,50
139,5 rm. · Apartment · 153 m²,19.900,"København, Nørrebrogade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/153m2-5-room-id-5246447,5,153
140,2 rm. · Apartment · 57 m²,12.950,"København, J.C. Jacobsens Gade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/57m2-2-room-id-5246408,2,57
141,2 rm. · Apartment · 70 m²,14.800,"København, J.C. Jacobsens Gade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/70m2-2-room-id-5246407,2,70
142,2 rm. · Apartment · 62 m²,13.850,"København, Pasteursvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/62m2-2-room-id-5246405,2,62
143,2 rm. · Apartment · 62 m²,13.750,"København, Pasteursvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/62m2-2-room-id-5246404,2,62
144,2 rm. · Apartment · 62 m²,13.800,"København, J.C. Jacobsens Gade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/62m2-2-room-id-5246402,2,62
145,3 rm. · Apartment · 78 m²,15.950,"København, Olivia Hansens Gade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-3-room-id-5246401,3,78
146,3 rm. · Apartment · 78 m²,15.750,"København, Olivia Hansens Gade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-3-room-id-5246400,3,78
147,3 rm. · Apartment · 78 m²,16.100,"København, Fadet",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-3-room-id-5246399,3,78
148,3 rm. · Apartment · 78 m²,15.950,"København, Fadet",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-3-room-id-5246398,3,78
